model_ID,num_conv_block,num_filters,num_dense_layers,dense_layer_size,use_separable_conv_layer,use_regularization,use_dropout_dense_layers,use_dropout_conv_blocks,dense_dropout_amount,conv_dropout_amount,regularization_amount,num_classes,input_shape
1,5,64,1,32,True,False,False,True,0.5,0.1,0.001,10,"(300, 44, 1)"
2,9,16,0,128,True,False,True,True,0.5,0.1,0.001,10,"(300, 44, 1)"
3,5,32,1,64,True,False,True,True,0.5,0.1,0.001,10,"(300, 44, 1)"
4,5,16,4,16,True,False,True,False,0.5,0.1,0.001,10,"(300, 44, 1)"
5,2,8,5,64,False,False,True,False,0.5,0.1,0.001,10,"(300, 44, 1)"
6,4,64,3,16,True,False,True,False,0.5,0.1,0.001,10,"(300, 44, 1)"
7,2,64,2,32,True,False,False,False,0.5,0.1,0.001,10,"(300, 44, 1)"
8,5,32,3,64,False,False,True,True,0.5,0.1,0.001,10,"(300, 44, 1)"
9,2,128,4,8,True,False,True,False,0.5,0.1,0.001,10,"(300, 44, 1)"
10,9,128,1,32,False,True,True,True,0.5,0.1,0.001,10,"(300, 44, 1)"
11,9,16,4,128,True,True,True,True,0.5,0.1,0.001,10,"(300, 44, 1)"
12,6,128,4,32,True,False,False,True,0.5,0.1,0.001,10,"(300, 44, 1)"
13,4,64,5,128,False,False,True,False,0.5,0.1,0.001,10,"(300, 44, 1)"
14,2,128,3,32,True,False,False,True,0.5,0.1,0.001,10,"(300, 44, 1)"
15,2,16,1,64,True,True,True,False,0.5,0.1,0.001,10,"(300, 44, 1)"
16,3,128,5,16,False,True,True,False,0.5,0.1,0.001,10,"(300, 44, 1)"
17,5,32,5,8,False,False,False,False,0.5,0.1,0.001,10,"(300, 44, 1)"
18,4,32,4,8,True,False,False,False,0.5,0.1,0.001,10,"(300, 44, 1)"
19,9,64,2,8,True,False,False,True,0.5,0.1,0.001,10,"(300, 44, 1)"
20,3,128,3,8,False,False,False,False,0.5,0.1,0.001,10,"(300, 44, 1)"
21,1,32,1,32,True,True,True,False,0.5,0.1,0.001,10,"(300, 44, 1)"
22,1,128,5,32,False,True,True,True,0.5,0.1,0.001,10,"(300, 44, 1)"
23,8,64,4,8,False,True,True,False,0.5,0.1,0.001,10,"(300, 44, 1)"
24,9,128,4,128,True,False,True,False,0.5,0.1,0.001,10,"(300, 44, 1)"
25,5,16,4,64,False,False,False,False,0.5,0.1,0.001,10,"(300, 44, 1)"
26,2,16,2,128,True,True,False,True,0.5,0.1,0.001,10,"(300, 44, 1)"
27,9,64,0,128,False,False,True,False,0.5,0.1,0.001,10,"(300, 44, 1)"
28,8,32,5,64,False,True,True,True,0.5,0.1,0.001,10,"(300, 44, 1)"
29,9,128,4,16,True,True,False,False,0.5,0.1,0.001,10,"(300, 44, 1)"
30,7,64,4,32,True,False,True,False,0.5,0.1,0.001,10,"(300, 44, 1)"
31,8,64,3,128,True,True,False,True,0.5,0.1,0.001,10,"(300, 44, 1)"
32,7,8,1,16,False,True,False,False,0.5,0.1,0.001,10,"(300, 44, 1)"
33,4,32,3,64,False,True,False,True,0.5,0.1,0.001,10,"(300, 44, 1)"
34,7,64,1,32,True,False,False,False,0.5,0.1,0.001,10,"(300, 44, 1)"
35,3,32,4,8,False,True,False,True,0.5,0.1,0.001,10,"(300, 44, 1)"
36,8,16,4,128,True,True,False,True,0.5,0.1,0.001,10,"(300, 44, 1)"
37,3,128,5,32,False,False,False,True,0.5,0.1,0.001,10,"(300, 44, 1)"
38,1,128,3,32,False,False,True,False,0.5,0.1,0.001,10,"(300, 44, 1)"
39,7,16,2,16,False,False,True,True,0.5,0.1,0.001,10,"(300, 44, 1)"
40,6,32,3,64,False,False,True,False,0.5,0.1,0.001,10,"(300, 44, 1)"
41,4,64,1,8,False,False,True,False,0.5,0.1,0.001,10,"(300, 44, 1)"
42,5,64,0,16,True,False,False,True,0.5,0.1,0.001,10,"(300, 44, 1)"
43,7,32,2,32,True,False,False,True,0.5,0.1,0.001,10,"(300, 44, 1)"
44,4,16,4,64,True,True,False,True,0.5,0.1,0.001,10,"(300, 44, 1)"
45,9,8,3,16,True,False,False,False,0.5,0.1,0.001,10,"(300, 44, 1)"
